UV-Vis Spectrum of Solution of Ferrocene in anhydrous Acetone
wavelength,absorbance
800,-0.0036907
799.9,-0.00368241
799.8,-0.00368247
799.7,-0.00365835
799.6,-0.00363984
799.5,-0.0036482
799.4,-0.00365083
799.3,-0.00365423
799.2,-0.0036519
799.1,-0.0036556
799,-0.00367232
798.9,-0.00367095
798.8,-0.00368074
798.7,-0.00367882
798.6,-0.00367584
798.5,-0.00368139
798.4,-0.00368587
798.3,-0.00367888
798.2,-0.00367686
798.1,-0.00367244
798,-0.00366229
797.9,-0.00365119
797.8,-0.00365083
797.7,-0.00366044
797.6,-0.0036833
797.5,-0.00371142
797.4,-0.00371404
797.3,-0.00371327
797.2,-0.0037039
797.1,-0.00366581
797,-0.00366969
796.9,-0.00367644
796.8,-0.003679
796.7,-0.00369888
796.6,-0.00370264
796.5,-0.00370509
796.4,-0.0036987
796.3,-0.00368432
796.2,-0.0036962
796.1,-0.00368891
796,-0.00368468
795.9,-0.00368647
795.8,-0.00367638
795.7,-0.00367494
795.6,-0.00367202
795.5,-0.00369405
795.4,-0.00369554
795.3,-0.00369721
795.2,-0.00371655
795.1,-0.00369739
795,-0.00366605
794.9,-0.00364725
794.8,-0.00363208
794.7,-0.00365387
794.6,-0.00367924
794.5,-0.00370485
794.4,-0.00368718
794.3,-0.00366557
794.2,-0.00364868
794.1,-0.00361704
794,-0.00364277
793.9,-0.0036297
793.8,-0.00363346
793.7,-0.00365566
793.6,-0.00364695
793.5,-0.00365578
793.4,-0.00365728
793.3,-0.00364289
793.2,-0.00364122
793.1,-0.00363292
793,-0.00363573
792.9,-0.0036285
792.8,-0.00363417
792.7,-0.00364002
792.6,-0.00362385
792.5,-0.00364922
792.4,-0.00364134
792.3,-0.00366605
792.2,-0.00370867
792.1,-0.00370264
792,-0.00370145
791.9,-0.00368987
791.8,-0.00366247
791.7,-0.00365202
791.6,-0.00366098
791.5,-0.0036525
791.4,-0.00363889
791.3,-0.00362271
791.2,-0.00361203
791.1,-0.00361406
791,-0.0036177
790.9,-0.00363686
790.8,-0.00364122
790.7,-0.0036491
790.6,-0.00365304
790.5,-0.00364337
790.4,-0.00364301
790.3,-0.0036442
790.2,-0.00363041
790.1,-0.00363793
790,-0.00364092
789.9,-0.00363596
789.8,-0.00366217
789.7,-0.00367381
789.6,-0.00367823
789.5,-0.00367817
789.4,-0.00367805
789.3,-0.00365083
789.2,-0.00364575
789.1,-0.0036399
789,-0.003622
788.9,-0.00363596
788.8,-0.00363364
788.7,-0.00363005
788.6,-0.00361806
788.5,-0.00361656
788.4,-0.00361943
788.3,-0.00362838
788.2,-0.00363805
788.1,-0.00364892
788,-0.00364313
787.9,-0.00364026
787.8,-0.00364832
787.7,-0.00363131
787.6,-0.00361406
787.5,-0.00360457
787.4,-0.00360683
787.3,-0.00360671
787.2,-0.00363161
787.1,-0.00364086
787,-0.00362791
786.9,-0.00363471
786.8,-0.00362617
786.7,-0.00360994
786.6,-0.003626
786.5,-0.00362462
786.4,-0.00361388
786.3,-0.00361173
786.2,-0.00359651
786.1,-0.00359621
786,-0.00360868
785.9,-0.00359131
785.8,-0.003586
785.7,-0.00359173
785.6,-0.00357293
785.5,-0.00359842
785.4,-0.0036245
785.3,-0.00362886
785.2,-0.00362474
785.1,-0.0036097
785,-0.00356547
784.9,-0.00355496
784.8,-0.00357454
784.7,-0.00358684
784.6,-0.00360003
784.5,-0.0035891
784.4,-0.00357406
784.3,-0.00357794
784.2,-0.00356911
784.1,-0.00355979
784,-0.00355609
783.9,-0.00354344
783.8,-0.00355872
783.7,-0.00356565
783.6,-0.00356075
783.5,-0.00355114
783.4,-0.00354039
783.3,-0.00354141
783.2,-0.00357078
783.1,-0.00359806
783,-0.00360755
782.9,-0.00359806
782.8,-0.00356827
782.7,-0.00355042
782.6,-0.00354278
782.5,-0.00355669
782.4,-0.00358117
782.3,-0.00357663
782.2,-0.00358445
782.1,-0.00358797
782,-0.00359203
781.9,-0.00360648
781.8,-0.00360624
781.7,-0.0036011
781.6,-0.00358905
781.5,-0.00359681
781.4,-0.00360928
781.3,-0.0036288
781.2,-0.0036288
781.1,-0.00361871
781,-0.00362731
780.9,-0.00361412
780.8,-0.00362438
780.7,-0.00362707
780.6,-0.00363041
780.5,-0.00363608
780.4,-0.00363579
780.3,-0.00364253
780.2,-0.00364396
780.1,-0.00365399
780,-0.00366151
779.9,-0.00367327
779.8,-0.00366945
779.7,-0.00367536
779.6,-0.00365751
779.5,-0.00364862
779.4,-0.00364367
779.3,-0.00361376
779.2,-0.00364719
779.1,-0.00366689
779,-0.00366742
778.9,-0.00369088
778.8,-0.00365441
778.7,-0.00363435
778.6,-0.00363023
778.5,-0.00363429
778.4,-0.00368062
778.3,-0.00369823
778.2,-0.00371512
778.1,-0.00369643
778,-0.00367172
777.9,-0.00365799
777.8,-0.0036331
777.7,-0.00363668
777.6,-0.00365262
777.5,-0.00366062
777.4,-0.00369196
777.3,-0.00370431
777.2,-0.00369208
777.1,-0.00368921
777,-0.0036876
776.9,-0.00367799
776.8,-0.00365178
776.7,-0.0036485
776.6,-0.00363125
776.5,-0.00363853
776.4,-0.00366653
776.3,-0.00368133
776.2,-0.00368945
776.1,-0.00368909
776,-0.00367381
775.9,-0.0036488
775.8,-0.00365954
775.7,-0.00366044
775.6,-0.00367578
775.5,-0.00368688
775.4,-0.00367435
775.3,-0.00368187
775.2,-0.00368527
775.1,-0.00369154
775,-0.00368629
774.9,-0.00368074
774.8,-0.00368151
774.7,-0.00366629
774.6,-0.00366862
774.5,-0.00366844
774.4,-0.00367202
774.3,-0.00369852
774.2,-0.00371613
774.1,-0.00372216
774,-0.0037104
773.9,-0.00369721
773.8,-0.0036913
773.7,-0.00368921
773.6,-0.00367817
773.5,-0.00368223
773.4,-0.00368205
773.3,-0.00367715
773.2,-0.00368772
773.1,-0.00366623
773,-0.00364814
772.9,-0.00364778
772.8,-0.00365298
772.7,-0.0036633
772.6,-0.0036636
772.5,-0.00367375
772.4,-0.00367471
772.3,-0.00369954
772.2,-0.00371315
772.1,-0.00370855
772,-0.00370324
771.9,-0.00368575
771.8,-0.00367924
771.7,-0.00368402
771.6,-0.00368032
771.5,-0.00369255
771.4,-0.0036996
771.3,-0.00369858
771.2,-0.00373112
771.1,-0.00371972
771,-0.00371196
770.9,-0.00370616
770.8,-0.00368497
770.7,-0.00369554
770.6,-0.00369476
770.5,-0.00370581
770.4,-0.00371082
770.3,-0.00370611
770.2,-0.00372145
770.1,-0.00371207
770,-0.00372216
769.9,-0.00370467
769.8,-0.00370551
769.7,-0.00369506
769.6,-0.00368151
769.5,-0.00370527
769.4,-0.00369632
769.3,-0.00371357
769.2,-0.00372115
769.1,-0.00371088
769,-0.00370999
768.9,-0.00370855
768.8,-0.00370396
768.7,-0.00371942
768.6,-0.00371595
768.5,-0.00370664
768.4,-0.00368909
768.3,-0.00365596
768.2,-0.00366498
768.1,-0.00365393
768,-0.00364856
767.9,-0.00367077
767.8,-0.00367972
767.7,-0.00368879
767.6,-0.00369488
767.5,-0.0036728
767.4,-0.00364898
767.3,-0.00363728
767.2,-0.00363704
767.1,-0.00365172
767,-0.00366492
766.9,-0.00368068
766.8,-0.00369924
766.7,-0.00370294
766.6,-0.00370205
766.5,-0.00369023
766.4,-0.00367023
766.3,-0.00366557
766.2,-0.00366223
766.1,-0.00368288
766,-0.0036996
765.9,-0.00368259
765.8,-0.00367041
765.7,-0.00364963
765.6,-0.00363746
765.5,-0.00365166
765.4,-0.00365363
765.3,-0.00365357
765.2,-0.00365363
765.1,-0.0036371
765,-0.00363752
764.9,-0.00363411
764.8,-0.00363089
764.7,-0.00363483
764.6,-0.00364158
764.5,-0.00363692
764.4,-0.00362564
764.3,-0.00362486
764.2,-0.00361985
764.1,-0.00361388
764,-0.00359603
763.9,-0.00360642
763.8,-0.00360391
763.7,-0.00361913
763.6,-0.00365077
763.5,-0.00363286
763.4,-0.00362337
763.3,-0.00361585
763.2,-0.00359889
763.1,-0.00360015
763,-0.00360063
762.9,-0.00361006
762.8,-0.00362253
762.7,-0.0036402
762.6,-0.00363656
762.5,-0.00362701
762.4,-0.00361119
762.3,-0.00359907
762.2,-0.00358982
762.1,-0.00357609
762,-0.00356553
761.9,-0.00355317
761.8,-0.00355842
761.7,-0.00354738
761.6,-0.00356797
761.5,-0.00359316
761.4,-0.00359758
761.3,-0.00361149
761.2,-0.00358511
761.1,-0.00356535
761,-0.00356863
760.9,-0.00356785
760.8,-0.00358373
760.7,-0.00358134
760.6,-0.0035715
760.5,-0.00356785
760.4,-0.00355663
760.3,-0.00355932
760.2,-0.00356493
760.1,-0.00357794
760,-0.00359454
759.9,-0.00359263
759.8,-0.00358361
759.7,-0.00356618
759.6,-0.00354851
759.5,-0.00354225
759.4,-0.00352977
759.3,-0.00353132
759.2,-0.00355735
759.1,-0.00355818
759,-0.00357221
758.9,-0.00359269
758.8,-0.00358182
758.7,-0.00358821
758.6,-0.00359173
758.5,-0.00357973
758.4,-0.00355908
758.3,-0.0035429
758.2,-0.00354141
758.1,-0.00354439
758,-0.00355997
757.9,-0.00357514
757.8,-0.00358636
757.7,-0.0035814
757.6,-0.00358403
757.5,-0.00358767
757.4,-0.00357926
757.3,-0.00358475
757.2,-0.00358302
757.1,-0.00357746
757,-0.00358331
756.9,-0.00357305
756.8,-0.00356869
756.7,-0.00356153
756.6,-0.00354284
756.5,-0.00356409
756.4,-0.00356547
756.3,-0.00355938
756.2,-0.00355508
756.1,-0.0035152
756,-0.00351407
755.9,-0.00351735
755.8,-0.00353281
755.7,-0.003554
755.6,-0.00355084
755.5,-0.00355544
755.4,-0.00355048
755.3,-0.00354099
755.2,-0.00354296
755.1,-0.00353526
755,-0.00353448
754.9,-0.00353866
754.8,-0.00352583
754.7,-0.00353663
754.6,-0.00355448
754.5,-0.00356553
754.4,-0.00358367
754.3,-0.003582
754.2,-0.00355203
754.1,-0.00353544
754,-0.0035232
753.9,-0.00351544
753.8,-0.00351825
753.7,-0.00353013
753.6,-0.0035438
753.5,-0.00355991
753.4,-0.0035675
753.3,-0.00355681
753.2,-0.00355454
753.1,-0.00354702
753,-0.00354792
752.9,-0.00354678
752.8,-0.00353974
752.7,-0.00354284
752.6,-0.00355412
752.5,-0.00356135
752.4,-0.00355645
752.3,-0.00353675
752.2,-0.00351019
752.1,-0.00349192
752,-0.00350207
751.9,-0.00351246
751.8,-0.00351699
751.7,-0.00353496
751.6,-0.00352464
751.5,-0.00353222
751.4,-0.00355526
751.3,-0.00355591
751.2,-0.00355968
751.1,-0.00355048
751,-0.00352995
750.9,-0.00352296
750.8,-0.0035232
750.7,-0.00351425
750.6,-0.00350929
750.5,-0.00352517
750.4,-0.00351873
750.3,-0.00349765
750.2,-0.00350207
750.1,-0.00349109
750,-0.00350804
749.9,-0.00353114
749.8,-0.00352726
749.7,-0.00352607
749.6,-0.00351085
749.5,-0.00352022
749.4,-0.00351228
749.3,-0.00350804
749.2,-0.0035189
749.1,-0.00350983
749,-0.00352046
748.9,-0.00353735
748.8,-0.00351801
748.7,-0.00353156
748.6,-0.00354613
748.5,-0.00354081
748.4,-0.00354427
748.3,-0.00352905
748.2,-0.00350858
748.1,-0.00348852
748,-0.00348936
747.9,-0.00349091
747.8,-0.0035118
747.7,-0.00353216
747.6,-0.00355215
747.5,-0.0035712
747.4,-0.00356612
747.3,-0.00356958
747.2,-0.00356069
747.1,-0.00355472
747,-0.00356171
746.9,-0.00353872
746.8,-0.00352517
746.7,-0.00353747
746.6,-0.00353986
746.5,-0.00355335
746.4,-0.00356379
746.3,-0.00354613
746.2,-0.00353216
746.1,-0.00350762
746,-0.00351491
745.9,-0.00351926
745.8,-0.00353031
745.7,-0.00354851
745.6,-0.00355162
745.5,-0.00355926
745.4,-0.00355263
745.3,-0.00356057
745.2,-0.003554
745.1,-0.00355329
745,-0.0035386
744.9,-0.00355436
744.8,-0.00356684
744.7,-0.00356714
744.6,-0.00356296
744.5,-0.00355412
744.4,-0.00354457
744.3,-0.00353216
744.2,-0.00354201
744.1,-0.00353741
744,-0.00354147
743.9,-0.00354213
743.8,-0.00356171
743.7,-0.00357311
743.6,-0.00357072
743.5,-0.00356899
743.4,-0.00355848
743.3,-0.00354654
743.2,-0.00354708
743.1,-0.00355753
743,-0.00355812
742.9,-0.00354756
742.8,-0.0035555
742.7,-0.00355985
742.6,-0.00355836
742.5,-0.00356535
742.4,-0.00355938
742.3,-0.00354505
742.2,-0.00354726
742.1,-0.00355794
742,-0.00356021
741.9,-0.00358361
741.8,-0.00357293
741.7,-0.00355132
741.6,-0.00353944
741.5,-0.00351407
741.4,-0.00351664
741.3,-0.00353944
741.2,-0.00354959
741.1,-0.0035592
741,-0.00356081
740.9,-0.00355078
740.8,-0.00354105
740.7,-0.00353831
740.6,-0.00354183
740.5,-0.0035426
740.4,-0.00355311
740.3,-0.00355532
740.2,-0.0035503
740.1,-0.00356839
740,-0.00358636
739.9,-0.0035826
739.8,-0.00357072
739.7,-0.00356272
739.6,-0.00356356
739.5,-0.00356081
739.4,-0.00357269
739.3,-0.00357812
739.2,-0.00356953
